date,flower_name,meaning
01-01,フクジュソウ,幸せを招く
01-02,ハルサザンカ,困難に勝つ
01-03,ストレリチア,ひとり占め
01-04,ブルースター,幸せな愛
01-05,ラッパスイセン,再生
01-06,カーネーション（ピンク）,熱愛
01-07,アッツザクラ,愛を待つ
01-08,マンリョウ,予言
01-09,ユキワリソウ,期待
01-10,ナワシロイチゴ,恩恵
01-11,コチョウラン（白）,愛をあなたへ
01-12,カンツバキ,謙譲
01-13,マンサク,新鮮
01-14,ブルーデイジー,恵まれて
01-15,ポピー,やすらぎ
01-16,オキザリス,ひたむきな愛
01-17,スイカズラ,愛の絆
01-18,グズマニア,完璧
01-19,ストック（八重）,永遠の美
01-20,スイートピー,永遠の喜び
01-21,スイセン,自己愛
01-22,リカステ,快活
01-23,オウバイ,高貴
01-24,ヒヤシンス（紫）,優しくかわいい
01-25,チューリップ（黄）,正直
01-26,ピグミーランタン,印象
01-27,マダガスカルジャスミン,自意識
01-28,キンギョソウ,欲望
01-29,スミレ,誠実な愛
01-30,サクラソウ,忠実
01-31,ウメ（白）,澄んだ心
02-01,フリージア（黄）,純愛
02-02,シラー,冷静
02-03,シクラメン（ピンク）,はずかしがり
02-04,プリムラ・ポリアンサ,ひたむきな愛
02-05,スイレン,信仰
02-06,ビワ,愛の記憶
02-07,スノードロップ,初恋のため息
02-08,ハナシノブ,野生美
02-09,クリスマスローズ,大切な人
02-10,バラ（黄）,ジェラシー
02-11,アフリカンキンセンカ,元気
02-12,スプレーギク,寛大
02-13,アザレア,愛される喜び
02-14,サクシフラガ,自信
02-15,サンシュユ,永遠
02-16,フリージア（白）,無邪気
02-17,ネコヤナギ,素直
02-18,ヒマラヤユキノシタ,順応
02-19,プリムラ・ジュリアン,永続する愛
02-20,コブシ,友情
02-21,ウメ（紅）,忠実
02-22,ビオラ,誠実
02-23,ストック（一重）,不変の愛
02-24,ニッコウキスゲ,勤勉
02-25,バイモ,飾らない心
02-26,ミズバショウ,決心
02-27,ミルトニア,愛の訪れ
02-28,ロウバイ,温かみ
02-29,パンジー,もの思い
03-01,ボケ,知恵
03-02,アリッサム,仲直り
03-03,ナノハナ,予期せぬ出会い
03-04,ヒヤシンス（ピンク）,勝負
03-05,オランダアヤメ,メッセージ
03-06,アネモネ,はかない恋
03-07,アスター,甘い夢
03-08,ワックスフラワー,思いのたけ
03-09,アルメリア,共感
03-10,レンギョウ,集中力
03-11,ヒガンザクラ,優れた美人
03-12,キャンディタフト,復活
03-13,ノースポール,誠実
03-14,モモ,あなたのとりこ
03-15,ヤグルマソウ,繊細
03-16,ビジョナデシコ,清い愛
03-17,ブルーレースフラワー,無言の愛
03-18,ジンチョウゲ,不老長寿
03-19,レンゲソウ,実り多き幸せ
03-20,アカシア,秘めた愛
03-21,チューリップ（赤）,恋の告白
03-22,ユキヤナギ,殊勝
03-23,ヤマブキ,富裕
03-24,カイドウ,美人の眠り
03-25,カキツバタ,幸せの誓い
03-26,プリムラ・オブコニカ,神秘な心
03-27,ムスカリ,明るい未来
03-28,ハナミズキ,おだやかな心
03-29,イカリソウ,束縛
03-30,ゲッケイジュ,栄誉と勝利
03-31,キンセンカ,変身、再生
04-01,クロッカス（黄),切望
04-02,デイジー,無垢
04-03,ラナンキュラス,華やかな魅力
04-04,トリテリア,耐える愛
04-05,コデマリ,優雅
04-06,スオウバナ,豊かな生活
04-07,サクラ,高潔
04-08,フジ,恋に酔う
04-09,ウォールフラワー,熱愛
04-10,ベニバナアセビ,静かな主張
04-11,クンシラン,情け深い
04-12,カタクリ,初恋
04-13,エビネ,気品
04-14,ハルジオン,さりげない愛
04-15,タンポポ,再会の夢
04-16,ライラック,淡い恋心
04-17,ユスラウメ,ノスタルジー
04-18,ワスレナグサ,忘れないで
04-19,カリフォルニアポピー,友情
04-20,ルピナス,想像力
04-21,ムルチコーレ,高潔
04-22,ホシクジャク,恋の年頃
04-23,ボタン,王者の風格
04-24,シャガ,自己主張
04-25,モッコウバラ,初恋
04-26,ミヤコワスレ,しばしの思い
04-27,カルミヤ,賞賛
04-28,ローズマリー,思い出
04-29,ミヤコグサ,きまぐれな心
04-30,ムラサキハナナ,恵まれた未来
05-01,マーガレット,秘めた愛
05-02,シバザクラ,合意
05-03,フロックス,温和
05-04,シャクヤク,恥じらい
05-05,ハナショウブ,情熱
05-06,ユズ,健康美
05-07,ナスタチウム,勝利
05-08,カーネーション（赤),純愛
05-09,カスミソウ,清楚
05-10,デルフィニウム,陽気
05-11,チューリップ（白),待ちわびて
05-12,アザミ,独立
05-13,サツキ,几帳面
05-14,フクシア,趣味の良さ
05-15,アヤメ,気まぐれ
05-16,ゼラニウム,真の友情
05-17,ベロニカ,忠実
05-18,ジギタリス,純愛
05-19,ブライダルベール,幸福
05-20,セントポーリア,はぐくむ愛
05-21,スノーフレーク,記憶
05-22,カモミール,癒し
05-23,タイム,活発
05-24,スズラン,幸福の再来
05-25,ニゲラ,とまどい
05-26,テマリバナ,誓い
05-27,オダマキ,はずむ心
05-28,ハナアオイ,ゆれる心
05-29,ノバラ,新しい旅立ち
05-30,スカビオサ,決心
05-31,キショウブ,消息
06-01,クレマチス,策略
06-02,シャクナゲ,警戒心
06-03,クローバー,約束
06-04,マツバギク,順応性
06-05,シラン,希望
06-06,スターチス,知識
06-07,カルセオラリア,私の伴侶
06-08,レースフラワー,優雅なたしなみ
06-09,ゴデチア,不変の愛
06-10,ラベンダー,疑問、鎮静
06-11,ガクアジサイ,素直
06-12,ベロペロネ,究極の美
06-13,クチナシ,洗練
06-14,ブーゲンビリア,情熱
06-15,アジサイ,はにかみ
06-16,カンパニュラ,望み
06-17,ベニバナ,化粧
06-18,サギソウ,夢想
06-19,アリウム,正しい主張
06-20,オトメギキョウ,大切な人
06-21,フロスフラワー,安楽
06-22,アマリリス,プライド
06-23,ササユリ,上品
06-24,バラ（赤),愛
06-25,アガパンサス,愛の始まり
06-26,レッドクローバー,勤勉
06-27,サンダーソニア,祈り
06-28,ツルハナナス,ほほえみ
06-29,ペラルゴニウム,あでやか
06-30,ヘリオトロープ,献身的な愛
07-01,ベゴニア（赤),大切な思い出
07-02,カラー（白),歓喜
07-03,バラ（ピンク),感銘
07-04,ハナギボシ,沈静
07-05,アンスリウム,情熱
07-06,トキソウ,つつましやか
07-07,ヒオウギ,静かな愛
07-08,クロユリ,恋の魔術
07-09,ストケシア,追想
07-10,マツバボタン,可憐
07-11,インパチェンス,鮮やかな人
07-12,パッションフラワー,聖なる愛
07-13,ニチニチソウ,甘い思い出
07-14,ハナトラノオ,素直さ
07-15,カンナ,尊敬
07-16,ツユクサ,尊敬
07-17,アメリカデイコ,夢の力
07-18,ゲッカビジン,ただ一度の恋
07-19,ムギワラギク,不滅の愛
07-20,ルコウソウ,繊細な愛
07-21,アサガオ,淡い恋
07-22,ナツツバキ,気品
07-23,ツリガネソウ,思い出
07-24,オシロイバナ,内気
07-25,スイセンノウ,ウィット
07-26,ヤマトナデシコ,すてきな予感
07-27,ホオズキ,笑顔
07-28,グロリオーサ,光栄
07-29,エキザカム,愛の告白
07-30,ホウセンカ,激しい愛
07-31,ビヨウヤナギ,気高さ
08-01,ヒメユリ,甘美
08-02,ペチュニア,心和らぐ
08-03,モントブレチア,楽しい思い出
08-04,カノコユリ,格調
08-05,ルリタマアザミ,権威
08-06,ヤマユリ,威厳
08-07,オクラ,初恋
08-08,ヒマワリ,栄光
08-09,ベルガモット,いちずな愛
08-10,アマリネ,魅惑的
08-11,グラジオラス,たゆまぬ努力
08-12,バーベナ,魔力
08-13,ルドベキア,正義
08-14,サルビア（赤）,燃ゆる想い
08-15,ミント,誘惑
08-16,パキスタキス・ルテア,楽しい語らい
08-17,タッセルフラワー,感性
08-18,クレオメ,うれしい誤算
08-19,ガーベラ（ピンク）,神秘
08-20,ヒソップ,きれい好き
08-21,ヒャクニチソウ,深い友情
08-22,ジャノメギク,せつない喜び
08-23,ナツスミレ,秘密
08-24,ハイビスカス,繊細な美
08-25,リシアンサス,優美
08-26,アンモビウム,固い約束
08-27,タンジー,不滅
08-28,オイランソウ,同意
08-29,クルクマ,縁
08-30,オジギソウ,愛の記憶
08-31,スパティフィラム,清らかな心
09-01,ムラサキツユクサ,貴ぶ
09-02,キク,信頼
09-03,ケイトウ,色あせぬ恋
09-04,バタフライブッシュ,魅力
09-05,オミナエシ,美人
09-06,ツリガネヤナギ,正義
09-07,ソバ,愛らしさ
09-08,ヤツシロソウ,従順
09-09,ベゴニア（白）,親切
09-10,タムラソウ,秘密
09-11,サルスベリ,雄弁
09-12,コスモス,乙女のまごころ
09-13,ランタナ,協力
09-14,ホトトギス,熟練
09-15,ヨメナ,秘めた美しさ
09-16,アスクレピアス,移り気
09-17,チューベローズ,危険な楽しみ
09-18,サルビア（紫）,尊敬
09-19,マツリカ,純情無垢
09-20,ケーププリムローズ,真実
09-21,キキョウ,変わらぬ恋
09-22,クジャクソウ,一目惚れ
09-23,サガギク,フェミニン
09-24,ユウゼンギク,元気
09-25,ノコンギク,質素
09-26,マンジュシャゲ,感謝
09-27,フウセンカズラ,自由な心
09-28,リンドウ,正義
09-29,アキノノゲシ,クールな恋
09-30,コルチカム,永遠
10-01,センニチコウ,不朽
10-02,オレンジコスモス,野生美
10-03,ミセバヤ,憧れ
10-04,ポットマム,高潔
10-05,パイナップルリリー,完璧
10-06,ホテイアオイ,好意
10-07,ハギ,前向きな恋
10-08,トーチリリー,恋の痛み
10-09,ユーチャリス,清い心
10-10,シオン,追想
10-11,クッションマム,自立心
10-12,キブネギク,多感なとき
